Month (t),Date,Open,High,Low,Close*,Adj Close**,Volume,GSPC Stock Return ,GSPC_percent_return,Open,High,Low,Close,Adj Close,Volume,AAPL Stock Return,AAPL_percent_return,Open,High,Low,Close,Adj Close,Volume,INTC Stock Return,INTC_percent_return,Open,High,Low,Close,Adj Close,Volume,KR Stock Return,KR_percent_return
50,1-Feb-19,"2,702.32","2,813.49","2,681.83","2,784.49","2,784.49","70,183,430,000",0.03,2.973,41.740002,43.967499,41.482498,43.287498,42.083862,1890162400,0.04,4.032,47.060001,53.610001,47.009998,52.959999,49.484772,410236000,0.123938982,12.394,28.4,29.969999,27.52,29.33,27.633064,116063600,0.035298296,3.53
51,1-Mar-19,"2,798.22","2,860.31","2,722.27","2,834.40","2,834.40","78,596,280,000",0.02,1.792,43.57,49.422501,42.375,47.487499,46.365074,2603925600,0.102,10.173,53.439999,54.990002,51.700001,53.700001,50.494255,435022900,0.020399872,2.04,29.450001,29.9,23.52,24.6,23.289314,242141300,-0.157193933,-15.719
52,1-Apr-19,"2,848.63","2,949.52","2,848.63","2,945.83","2,945.83","69,604,840,000",0.04,3.931,47.91,52.119999,47.095001,50.1675,48.981724,2024470800,0.056,5.644,54.34,59.59,50.869999,51.040001,47.99305,472425200,-0.049534447,-4.953,24.73,25.969999,23.52,25.780001,24.406443,161988500,0.04796745,4.797
53,1-May-19,"2,952.33","2,954.13","2,750.52","2,752.06","2,752.06","76,860,120,000",-0.07,-6.578,52.470001,53.827499,43.747501,43.767502,42.733006,2957826400,-0.128,-12.757,51.099998,51.82,42.860001,44.040001,41.410946,637861500,-0.137147024,-13.715,25.780001,26.1,22.440001,22.809999,21.594685,167163300,-0.115205563,-11.521
54,1-Jun-19,"2,751.53","2,964.15","2,728.81","2,941.76","2,941.76","70,904,280,000",0.07,6.893,43.900002,50.392502,42.567501,49.48,48.496521,2060874800,0.135,13.487,44.25,48.48,43.200001,47.869999,45.287956,416046000,0.093622831,9.362,22.73,24.99,21.299999,21.709999,20.667248,232169100,-0.042947466,-4.295
55,1-Jul-19,"2,971.41","3,027.98","2,952.22","2,980.38","2,980.38","70,349,470,000",0.01,1.313,50.7925,55.342499,49.602501,53.259998,52.201393,1895406800,0.076,7.639,49.290001,53.5,47.07,50.549999,47.823399,431034400,0.055984929,5.598,21.84,22.15,20.700001,21.16,20.143669,176922100,-0.025333755,-2.533
56,1-Aug-19,"2,980.32","3,013.59","2,822.12","2,926.46","2,926.46","79,599,440,000",-0.02,-1.809,53.474998,54.5075,48.145,52.185001,51.147755,2724326400,-0.02,-2.018,50.52,51.889999,44.799999,47.41,44.852776,531370100,-0.062116517,-6.212,21.15,24.09,21.1,23.68,22.542629,220080700,0.119092505,11.909
57,1-Sep-19,"2,909.01","3,021.99","2,891.85","2,976.74","2,976.74","73,992,330,000",0.02,1.718,51.607498,56.605,51.055,55.9925,55.088089,2170268400,0.077,7.704,47.119999,53.330002,46.5,51.529999,49.079689,387955800,0.094239719,9.424,23.49,26.77,23.299999,25.780001,24.71331,197759900,0.096292274,9.629
58,1-Oct-19,"2,983.69","3,050.10","2,855.94","3,037.56","3,037.56","77,564,550,000",0.02,2.043,56.267502,62.4375,53.782501,62.189999,61.185486,2433210800,0.111,11.068,51.970001,57.240002,48.529999,56.529999,53.84193,438267300,0.09703079,9.703,25.85,25.969999,23.709999,24.639999,23.62048,166990000,-0.044220301,-4.422
59,1-Nov-19,"3,050.72","3,154.26","3,050.72","3,140.98","3,140.98","72,179,920,000",0.03,3.405,62.384998,67,62.290001,66.8125,65.733322,1793326000,0.074,7.433,55.939999,59.130001,55.619999,58.049999,55.289658,319751400,0.026888486,2.689,24.68,28.08,24.639999,27.34,26.208763,150354600,0.109577917,10.958
60,1-Dec-19,"3,143.85","3,247.93","3,070.33","3,230.78","3,230.78","72,054,000,000",0.03,2.859,66.817497,73.4925,64.072502,73.412498,72.443565,2388794800,0.102,10.208,58.549999,60.48,55.75,59.849998,57.317795,419629000,0.036682032,3.668,27.42,29.209999,26.25,28.99,27.955788,149533600,0.066658049,6.666
61,1-Jan-20,"3,244.67","3,337.77","3,214.64","3,225.52","3,225.52","77,104,420,000",0,-0.163,74.059998,81.962502,73.1875,77.377502,76.356224,2934370400,0.054,5.401,60.240002,69.290001,58.52,63.93,61.225182,534150100,0.068170574,6.817,29.030001,29.16,26.719999,26.860001,25.901775,111647900,-0.073473622,-7.347
62,1-Feb-20,"3,235.66","3,393.52","2,855.84","2,954.22","2,954.22","84,292,270,000",-0.08,-8.411,76.074997,81.805,64.092499,68.339996,67.438011,3019279200,-0.117,-11.68,64.459999,68.089996,53.599998,55.52,53.170994,441506700,-0.13155025,-13.155,27.01,30.73,26.870001,28.129999,27.126467,132084900,0.047282165,4.728
